523 8988
OR 1 2
OR 1 2
SET 1 268
OR 1 2
FLIP 1 395
SET 2 117
AND 2 1
AND 2 1
AND 1 2
AND 2 1
OR 2 1
OR 2 1
OR 2 1
OR 2 1
XOR 2 1
XOR 2 1
FLIP 2 325
SET 1 53
FLIP 2 23
OR 1 2
SET 1 515
AND 2 1
AND 2 1
FLIP 2 363
XOR 2 1
FLIP 1 319
SET 2 473
XOR 2 1
FLIP 2 249
XOR 1 2
OR 1 2
XOR 1 2
SET 1 141
OR 2 1
XOR 1 2
OR 1 2
AND 2 1
OR 1 2
OR 2 1
SET 1 380
OR 1 2
FLIP 2 189
OR 2 1
XOR 1 2
AND 2 1
FLIP 1 96
SET 1 51
FLIP 1 152
OR 2 1
OR 2 1
AND 1 2
FLIP 2 358
XOR 1 2
AND 2 1
SET 1 351
SET 1 245
OR 2 1
OR 1 2
AND 2 1
AND 1 2
AND 1 2
OR 1 2
FLIP 1 291
OR 1 2
OR 1 2
XOR 1 2
FLIP 1 268
AND 1 2
OR 1 2
FLIP 2 470
SET 1 523
XOR 1 2
AND 2 1
XOR 2 1
XOR 2 1
OR 1 2
AND 1 2
FLIP 1 176
AND 2 1
AND 2 1
AND 2 1
OR 1 2
OR 1 2
OR 2 1
FLIP 2 425
OR 2 1
XOR 2 1
XOR 2 1
XOR 1 2
OR 2 1
XOR 1 2
OR 1 2
OR 1 2
OR 1 2
OR 1 2
SET 2 56
OR 1 2
XOR 2 1
AND 1 2
FLIP 1 387
FLIP 2 411
FLIP 1 22
SET 1 4
SET 1 342
AND 2 1
OR 1 2
FLIP 1 225
AND 2 1
FLIP 2 304
SET 1 57
AND 1 2
FLIP 2 106
AND 1 2
XOR 2 1
XOR 2 1
FLIP 2 235
XOR 2 1
SET 2 133
FLIP 2 331
SET 2 177
OR 2 1
AND 1 2
XOR 2 1
XOR 2 1
OR 1 2
SET 2 330
FLIP 1 206
XOR 2 1
XOR 2 1
XOR 2 1
XOR 1 2
OR 1 2
OR 1 2
XOR 1 2
AND 1 2
AND 2 1
FLIP 2 502
XOR 2 1
XOR 1 2
AND 2 1
SET 1 481
AND 2 1
XOR 1 2
XOR 2 1
FLIP 1 16
OR 1 2
XOR 2 1
FLIP 2 82
FLIP 1 494
OR 2 1
AND 2 1
OR 1 2
SET 2 342
SET 2 82
SET 1 494
XOR 2 1
FLIP 1 117
SET 1 225
SET 2 69
OR 2 1
SET 1 406
AND 2 1
XOR 1 2
AND 2 1
AND 1 2
SET 1 24
XOR 2 1
FLIP 1 455
FLIP 1 11
XOR 2 1
OR 1 2
AND 2 1
AND 1 2
FLIP 2 514
XOR 2 1
SET 2 521
SET 1 206
SET 2 401
XOR 1 2
AND 1 2
OR 2 1
AND 1 2
XOR 1 2
AND 2 1
AND 1 2
XOR 1 2
FLIP 1 53
AND 1 2
OR 1 2
AND 1 2
XOR 1 2
FLIP 1 87
XOR 1 2
AND 2 1
OR 1 2
FLIP 2 453
SET 2 314
FLIP 2 434
SET 1 502
OR 1 2
XOR 2 1
XOR 1 2
SET 2 296
SET 1 320
SET 1 286
SET 2 86
AND 2 1
OR 1 2
AND 2 1
OR 1 2
XOR 2 1
FLIP 1 25
OR 1 2
OR 2 1
AND 2 1
OR 1 2
SET 1 392
XOR 2 1
AND 1 2
FLIP 2 261
AND 1 2
AND 2 1
AND 1 2
OR 2 1
FLIP 2 323
FLIP 2 453
XOR 2 1
SET 2 432
OR 1 2
SET 2 94
OR 2 1
OR 2 1
AND 1 2
XOR 1 2
AND 2 1
OR 2 1
OR 1 2
AND 1 2
AND 1 2
AND 1 2
OR 1 2
FLIP 2 340
OR 1 2
OR 2 1
SET 2 319
OR 2 1
SET 1 167
OR 1 2
XOR 2 1
FLIP 1 281
SET 2 85
FLIP 2 280
OR 2 1
XOR 1 2
FLIP 1 175
SET 1 501
AND 1 2
SET 1 222
AND 2 1
XOR 2 1
SET 2 362
OR 1 2
XOR 2 1
XOR 1 2
XOR 1 2
SET 1 106
AND 2 1
SET 2 404
XOR 2 1
FLIP 1 169
XOR 1 2
XOR 1 2
OR 2 1
AND 1 2
AND 1 2
FLIP 1 225
SET 1 173
FLIP 1 164
XOR 1 2
SET 1 483
XOR 1 2
OR 2 1
FLIP 2 295
XOR 1 2
SET 1 89
AND 1 2
XOR 2 1
AND 2 1
SET 1 125
SET 1 352
SET 1 148
SET 1 373
AND 2 1
OR 2 1
SET 2 322
SET 2 3
FLIP 2 137
XOR 2 1
OR 2 1
XOR 1 2
AND 2 1
FLIP 1 73
OR 2 1
OR 2 1
AND 1 2
SET 1 217
SET 2 331
OR 2 1
FLIP 1 186
OR 2 1
FLIP 2 437
FLIP 2 381
FLIP 1 291
AND 2 1
SET 2 2
XOR 2 1
OR 1 2
XOR 2 1
XOR 1 2
XOR 2 1
OR 2 1
FLIP 2 197
FLIP 1 318
OR 2 1
FLIP 2 369
FLIP 1 106
OR 1 2
SET 2 516
AND 1 2
OR 2 1
SET 1 31
XOR 1 2
AND 1 2
AND 2 1
AND 1 2
XOR 2 1
OR 1 2
XOR 1 2
OR 1 2
FLIP 1 467
AND 2 1
AND 2 1
AND 1 2
SET 1 73
AND 2 1
OR 1 2
SET 1 279
OR 2 1
AND 2 1
OR 2 1
SET 2 52
AND 2 1
XOR 1 2
OR 2 1
XOR 2 1
AND 2 1
SET 1 1
XOR 2 1
FLIP 1 155
FLIP 2 99
FLIP 1 388
AND 1 2
XOR 1 2
FLIP 2 53
OR 1 2
SET 2 509
XOR 1 2
FLIP 2 141
FLIP 1 341
FLIP 2 143
OR 1 2
AND 2 1
AND 1 2
SET 2 34
XOR 1 2
FLIP 2 38
SET 2 25
FLIP 2 429
AND 2 1
SET 1 215
SET 1 188
FLIP 2 429
FLIP 1 60
OR 2 1
OR 1 2
SET 1 455
XOR 2 1
SET 2 274
XOR 2 1
XOR 1 2
FLIP 1 350
XOR 2 1
AND 1 2
OR 1 2
SET 1 400
AND 2 1
AND 1 2
XOR 1 2
FLIP 2 507
FLIP 1 415
OR 1 2
AND 2 1
FLIP 1 178
OR 1 2
OR 1 2
AND 2 1
AND 2 1
FLIP 2 15
SET 2 445
XOR 1 2
OR 1 2
SET 2 37
OR 2 1
SET 2 242
SET 2 394
FLIP 1 411
OR 1 2
FLIP 2 220
SET 2 361
FLIP 1 109
OR 1 2
FLIP 2 134
AND 1 2
OR 1 2
OR 2 1
OR 1 2
AND 2 1
OR 2 1
OR 2 1
OR 2 1
OR 1 2
OR 1 2
FLIP 1 428
FLIP 2 387
OR 2 1
XOR 1 2
FLIP 1 263
FLIP 1 126
FLIP 1 121
XOR 2 1
SET 1 119
SET 1 231
OR 1 2
OR 1 2
AND 1 2
AND 1 2
AND 1 2
XOR 2 1
FLIP 2 199
FLIP 2 443
OR 2 1
FLIP 1 364
XOR 1 2
FLIP 2 423
XOR 1 2
SET 2 284
OR 1 2
OR 2 1
AND 1 2
XOR 1 2
XOR 1 2
SET 1 203
FLIP 2 369
FLIP 2 85
OR 1 2
XOR 2 1
OR 1 2
XOR 2 1
AND 1 2
SET 1 355
SET 1 365
FLIP 1 449
FLIP 2 441
OR 2 1
XOR 2 1
XOR 2 1
SET 2 46
SET 1 262
SET 2 356
XOR 2 1
XOR 2 1
AND 1 2
OR 2 1
FLIP 2 480
FLIP 1 243
SET 2 217
AND 1 2
XOR 1 2
XOR 1 2
XOR 1 2
SET 2 450
FLIP 1 385
FLIP 1 44
OR 2 1
SET 2 68
XOR 2 1
OR 2 1
AND 2 1
AND 2 1
AND 2 1
SET 1 61
AND 1 2
OR 1 2
OR 1 2
SET 2 109
OR 1 2
SET 1 289
OR 2 1
XOR 2 1
SET 2 343
OR 2 1
SET 2 502
XOR 2 1
AND 1 2
AND 2 1
AND 2 1
OR 1 2
FLIP 2 291
AND 2 1
FLIP 1 24
FLIP 1 462
AND 1 2
SET 1 278
FLIP 1 136
OR 2 1
OR 1 2
XOR 2 1
SET 1 316
XOR 1 2
AND 1 2
SET 1 138
FLIP 2 351
OR 1 2
XOR 1 2
XOR 2 1
AND 2 1
SET 1 513
SET 1 101
XOR 1 2
OR 2 1
SET 2 43
FLIP 2 99
SET 2 234
XOR 2 1
OR 1 2
FLIP 1 252
AND 2 1
AND 2 1
XOR 2 1
XOR 2 1
XOR 2 1
SET 1 503
SET 2 378
OR 2 1
OR 1 2
OR 2 1
FLIP 2 112
SET 1 149
OR 2 1
FLIP 1 344
AND 2 1
OR 1 2
OR 1 2
AND 2 1
XOR 2 1
FLIP 1 282
XOR 2 1
XOR 1 2
XOR 2 1
OR 2 1
AND 1 2
AND 2 1
OR 2 1
FLIP 1 382
FLIP 1 152
FLIP 2 510
XOR 1 2
AND 2 1
SET 2 316
OR 2 1
AND 1 2
AND 1 2
AND 2 1
XOR 2 1
XOR 2 1
OR 1 2
FLIP 2 55
OR 2 1
FLIP 2 135
XOR 1 2
XOR 1 2
XOR 2 1
SET 1 194
AND 2 1
FLIP 2 260
OR 2 1
OR 2 1
AND 1 2
XOR 1 2
AND 1 2
SET 2 220
FLIP 2 22
XOR 1 2
XOR 2 1
XOR 1 2
XOR 1 2
FLIP 1 47
SET 2 249
AND 2 1
AND 1 2
FLIP 2 175
FLIP 1 344
AND 1 2
FLIP 2 94
OR 1 2
XOR 2 1
FLIP 1 282
XOR 1 2
SET 2 437
SET 2 300
FLIP 1 224
XOR 1 2
XOR 1 2
FLIP 1 292
SET 2 30
SET 2 290
XOR 1 2
SET 2 164
SET 2 86
FLIP 2 186
AND 2 1
XOR 1 2
AND 1 2
FLIP 1 168
XOR 2 1
XOR 2 1
XOR 2 1
SET 2 441
FLIP 1 206
OR 2 1
XOR 1 2
XOR 1 2
OR 1 2
OR 1 2
FLIP 2 333
XOR 1 2
AND 2 1
OR 2 1
OR 2 1
SET 2 121
XOR 2 1
XOR 2 1
SET 1 165
OR 2 1
XOR 2 1
FLIP 2 178
OR 1 2
OR 1 2
FLIP 1 238
OR 1 2
XOR 1 2
AND 1 2
SET 1 376
OR 2 1
OR 1 2
SET 2 153
FLIP 1 280
XOR 2 1
OR 2 1
AND 1 2
OR 1 2
AND 2 1
FLIP 2 366
OR 1 2
XOR 2 1
OR 1 2
OR 1 2
SET 2 243
SET 1 130
FLIP 2 90
SET 2 70
FLIP 2 372
AND 1 2
SET 1 33
FLIP 1 31
AND 1 2
OR 2 1
AND 1 2
FLIP 1 29
FLIP 1 245
FLIP 1 95
XOR 1 2
AND 2 1
AND 2 1
OR 2 1
AND 2 1
OR 1 2
XOR 1 2
OR 1 2
AND 1 2
AND 1 2
SET 2 177
AND 2 1
AND 2 1
SET 1 239
SET 1 315
SET 2 135
OR 2 1
OR 1 2
SET 2 491
AND 1 2
FLIP 2 520
OR 2 1
SET 2 403
OR 2 1
SET 2 359
SET 2 349
AND 1 2
FLIP 2 481
SET 2 125
FLIP 1 326
SET 1 427
FLIP 2 98
AND 1 2
OR 2 1
OR 2 1
SET 1 182
OR 2 1
SET 1 162
XOR 1 2
XOR 1 2
SET 1 322
XOR 2 1
OR 1 2
SET 2 18
OR 1 2
OR 2 1
SET 1 162
XOR 1 2
OR 1 2
SET 1 36
OR 1 2
AND 2 1
AND 2 1
XOR 2 1
XOR 1 2
SET 2 25
SET 2 387
AND 1 2
OR 2 1
FLIP 2 386
AND 1 2
AND 1 2
FLIP 2 369
XOR 1 2
FLIP 1 423
AND 1 2
OR 2 1
XOR 2 1
SET 1 170
SET 1 346
XOR 1 2
OR 1 2
OR 2 1
SET 1 143
OR 2 1
OR 1 2
AND 1 2
XOR 1 2
OR 2 1
OR 2 1
OR 2 1
OR 1 2
XOR 2 1
AND 2 1
AND 1 2
AND 1 2
FLIP 2 455
XOR 2 1
AND 2 1
XOR 2 1
SET 1 515
FLIP 2 211
XOR 2 1
FLIP 2 508
SET 1 423
FLIP 2 99
OR 1 2
OR 1 2
XOR 1 2
OR 2 1
OR 1 2
XOR 1 2
XOR 2 1
XOR 1 2
AND 1 2
AND 1 2
SET 1 273
OR 2 1
FLIP 1 364
OR 2 1
FLIP 2 80
FLIP 1 409
SET 1 15
XOR 1 2
SET 2 402
AND 2 1
XOR 1 2
XOR 2 1
SET 2 319
OR 2 1
SET 1 429
SET 1 49
FLIP 2 481
AND 1 2
AND 1 2
FLIP 1 372
AND 1 2
SET 1 433
XOR 1 2
FLIP 2 448
SET 2 18
AND 1 2
FLIP 1 469
XOR 2 1
FLIP 2 362
AND 2 1
AND 2 1
OR 2 1
OR 1 2
FLIP 2 367
OR 2 1
SET 2 473
SET 1 269
SET 2 237
OR 1 2
OR 1 2
OR 2 1
XOR 2 1
FLIP 2 134
XOR 2 1
OR 2 1
XOR 1 2
XOR 2 1
SET 1 457
AND 1 2
SET 1 252
SET 1 450
XOR 2 1
FLIP 1 337
SET 1 402
FLIP 1 347
XOR 1 2
FLIP 1 353
AND 2 1
AND 2 1
XOR 1 2
FLIP 2 428
XOR 2 1
OR 2 1
FLIP 2 519
AND 1 2
AND 1 2
AND 1 2
FLIP 1 266
OR 2 1
OR 1 2
OR 2 1
SET 2 101
FLIP 2 235
AND 1 2
XOR 2 1
SET 1 235
AND 1 2
AND 2 1
SET 2 355
AND 1 2
FLIP 2 256
FLIP 2 471
OR 2 1
FLIP 2 412
XOR 2 1
AND 2 1
FLIP 1 234
OR 2 1
XOR 2 1
FLIP 2 188
XOR 1 2
FLIP 1 382
AND 2 1
XOR 2 1
FLIP 2 240
XOR 2 1
FLIP 2 154
OR 2 1
FLIP 2 502
SET 2 76
XOR 1 2
OR 1 2
FLIP 2 294
FLIP 1 383
AND 1 2
AND 2 1
OR 1 2
XOR 2 1
AND 2 1
FLIP 1 14
AND 2 1
OR 1 2
AND 2 1
FLIP 1 515
FLIP 2 402
OR 1 2
SET 2 68
OR 2 1
OR 2 1
XOR 2 1
OR 1 2
XOR 1 2
XOR 1 2
SET 1 275
AND 1 2
FLIP 2 495
OR 1 2
OR 2 1
OR 2 1
XOR 1 2
OR 2 1
XOR 1 2
AND 1 2
XOR 1 2
AND 1 2
AND 1 2
FLIP 2 369
XOR 2 1
AND 2 1
FLIP 1 31
AND 1 2
SET 1 92
XOR 2 1
FLIP 1 412
XOR 2 1
SET 1 148
AND 2 1
SET 2 85
XOR 2 1
AND 2 1
OR 1 2
OR 1 2
AND 1 2
FLIP 2 290
AND 2 1
XOR 2 1
SET 2 444
OR 1 2
XOR 1 2
AND 2 1
FLIP 2 487
OR 2 1
SET 2 364
SET 1 212
XOR 1 2
OR 1 2
FLIP 2 163
XOR 2 1
AND 2 1
OR 1 2
AND 2 1
SET 2 401
XOR 2 1
XOR 2 1
OR 2 1
XOR 2 1
AND 1 2
AND 2 1
AND 1 2
SET 2 105
SET 2 314
AND 2 1
FLIP 2 504
SET 2 80
AND 1 2
FLIP 1 444
OR 1 2
FLIP 2 43
AND 1 2
XOR 1 2
FLIP 1 123
FLIP 2 475
OR 1 2
XOR 1 2
XOR 2 1
FLIP 1 427
AND 1 2
OR 1 2
FLIP 1 452
FLIP 1 193
FLIP 2 97
SET 1 376
OR 2 1
FLIP 1 98
OR 1 2
FLIP 1 206
OR 1 2
OR 1 2
FLIP 1 260
AND 1 2
FLIP 1 237
FLIP 2 403
FLIP 2 434
SET 2 212
XOR 1 2
OR 1 2
OR 2 1
OR 1 2
AND 2 1
SET 1 309
FLIP 2 63
OR 1 2
XOR 2 1
XOR 2 1
OR 1 2
AND 1 2
OR 2 1
OR 2 1
XOR 2 1
AND 1 2
XOR 2 1
FLIP 2 255
XOR 1 2
XOR 2 1
SET 1 197
AND 1 2
XOR 1 2
XOR 1 2
FLIP 1 9
FLIP 1 122
OR 2 1
AND 1 2
OR 2 1
SET 1 15
OR 1 2
AND 1 2
XOR 2 1
XOR 1 2
SET 2 195
SET 1 413
XOR 2 1
OR 2 1
SET 2 486
XOR 2 1
OR 2 1
AND 1 2
SET 1 208
SET 2 511
AND 2 1
XOR 1 2
XOR 2 1
XOR 1 2
FLIP 1 376
AND 2 1
SET 2 92
SET 1 451
FLIP 2 107
OR 1 2
XOR 1 2
XOR 1 2
FLIP 2 346
OR 2 1
XOR 2 1
XOR 2 1
SET 2 307
AND 2 1
FLIP 2 222
OR 2 1
SET 1 345
SET 2 246
FLIP 2 465
OR 2 1
SET 1 82
FLIP 2 196
SET 2 402
FLIP 1 119
XOR 2 1
FLIP 2 495
OR 2 1
FLIP 2 286
SET 1 223
SET 2 178
SET 1 200
AND 2 1
AND 2 1
OR 1 2
SET 2 398
XOR 2 1
OR 1 2
FLIP 2 58
OR 2 1
SET 2 36
AND 2 1
FLIP 2 119
FLIP 2 42
OR 2 1
AND 2 1
FLIP 1 127
OR 1 2
FLIP 1 403
AND 1 2
OR 2 1
FLIP 1 53
OR 1 2
SET 2 411
AND 2 1
AND 1 2
AND 2 1
SET 2 411
OR 2 1
OR 2 1
FLIP 2 326
SET 2 320
XOR 1 2
XOR 1 2
OR 1 2
AND 1 2
OR 2 1
XOR 2 1
XOR 1 2
AND 1 2
XOR 1 2
OR 1 2
SET 2 437
SET 1 56
SET 2 429
OR 1 2
OR 2 1
FLIP 1 486
XOR 2 1
OR 1 2
XOR 2 1
SET 1 156
XOR 2 1
SET 1 228
AND 1 2
AND 1 2
AND 2 1
SET 1 473
FLIP 1 257
XOR 1 2
OR 1 2
XOR 2 1
SET 1 453
XOR 1 2
AND 2 1
SET 2 120
XOR 2 1
SET 2 492
AND 2 1
XOR 1 2
OR 1 2
SET 1 376
OR 2 1
AND 1 2
FLIP 1 417
SET 2 301
AND 1 2
SET 1 285
AND 2 1
XOR 2 1
FLIP 2 93
OR 2 1
XOR 1 2
OR 1 2
FLIP 2 451
OR 1 2
XOR 1 2
XOR 1 2
FLIP 2 430
FLIP 1 252
OR 1 2
FLIP 2 210
OR 2 1
SET 2 272
AND 1 2
SET 2 282
XOR 1 2
OR 2 1
OR 1 2
SET 2 253
SET 2 485
SET 2 476
FLIP 2 164
FLIP 2 272
FLIP 1 33
XOR 1 2
AND 1 2
AND 1 2
SET 2 17
AND 1 2
OR 2 1
AND 2 1
OR 2 1
OR 1 2
XOR 1 2
FLIP 1 123
SET 1 224
FLIP 2 253
XOR 1 2
XOR 1 2
XOR 2 1
OR 1 2
AND 1 2
XOR 1 2
AND 2 1
AND 1 2
XOR 1 2
XOR 1 2
OR 2 1
XOR 2 1
OR 1 2
SET 2 488
FLIP 1 511
SET 1 101
AND 1 2
XOR 2 1
OR 2 1
FLIP 2 106
SET 2 256
AND 2 1
XOR 2 1
FLIP 2 395
AND 1 2
AND 2 1
SET 2 50
FLIP 1 409
OR 2 1
AND 2 1
AND 2 1
XOR 1 2
XOR 2 1
XOR 1 2
OR 1 2
AND 1 2
SET 1 372
FLIP 2 493
OR 1 2
AND 2 1
FLIP 1 105
FLIP 2 126
SET 1 337
AND 1 2
SET 1 479
XOR 2 1
AND 2 1
AND 1 2
AND 1 2
SET 2 505
XOR 1 2
AND 2 1
SET 1 200
SET 2 348
FLIP 1 361
OR 1 2
FLIP 2 409
SET 2 123
AND 2 1
XOR 2 1
FLIP 1 141
AND 2 1
XOR 1 2
FLIP 1 147
FLIP 2 304
SET 2 348
FLIP 2 187
FLIP 1 305
OR 2 1
SET 2 97
SET 2 280
XOR 2 1
XOR 2 1
AND 2 1
OR 2 1
SET 2 474
SET 1 267
AND 2 1
OR 1 2
XOR 1 2
SET 1 351
FLIP 2 270
AND 1 2
AND 2 1
SET 2 244
SET 2 292
OR 2 1
FLIP 2 212
SET 2 394
SET 2 348
OR 2 1
OR 2 1
AND 1 2
AND 2 1
FLIP 1 118
SET 1 60
AND 1 2
FLIP 1 418
AND 1 2
XOR 1 2
FLIP 1 421
XOR 2 1
OR 2 1
XOR 2 1
SET 1 413
FLIP 1 214
OR 1 2
SET 1 283
OR 1 2
FLIP 1 515
XOR 1 2
AND 1 2
SET 2 233
SET 2 373
AND 2 1
OR 2 1
AND 1 2
XOR 1 2
SET 1 310
AND 2 1
SET 1 450
OR 2 1
FLIP 2 52
AND 1 2
FLIP 1 289
SET 1 259
XOR 1 2
AND 2 1
SET 1 85
AND 2 1
AND 1 2
FLIP 2 520
OR 1 2
SET 2 439
FLIP 2 384
AND 1 2
OR 2 1
AND 1 2
SET 2 25
OR 2 1
SET 2 421
XOR 2 1
OR 1 2
OR 2 1
FLIP 2 304
FLIP 1 132
FLIP 2 280
XOR 2 1
SET 2 187
SET 1 177
SET 2 312
FLIP 2 80
FLIP 1 452
OR 1 2
XOR 2 1
AND 1 2
FLIP 1 269
SET 2 119
XOR 2 1
XOR 1 2
FLIP 1 368
XOR 1 2
FLIP 1 209
FLIP 2 446
SET 1 346
XOR 1 2
FLIP 2 370
SET 1 406
XOR 1 2
XOR 1 2
SET 1 111
SET 1 47
OR 1 2
XOR 1 2
OR 1 2
OR 2 1
SET 1 402
XOR 2 1
SET 2 471
FLIP 2 407
SET 1 149
FLIP 1 255
AND 2 1
OR 1 2
XOR 2 1
AND 2 1
FLIP 2 337
OR 2 1
AND 1 2
XOR 1 2
FLIP 1 342
OR 2 1
OR 1 2
OR 1 2
XOR 1 2
FLIP 2 130
OR 2 1
XOR 2 1
FLIP 1 102
OR 1 2
SET 2 209
SET 2 404
XOR 2 1
AND 1 2
SET 1 401
SET 1 242
OR 2 1
XOR 1 2
OR 2 1
OR 1 2
SET 2 35
XOR 1 2
SET 2 10
AND 2 1
SET 2 220
OR 1 2
SET 2 371
XOR 2 1
XOR 1 2
XOR 1 2
XOR 2 1
OR 2 1
AND 1 2
SET 1 37
OR 1 2
XOR 1 2
SET 2 158
OR 1 2
OR 1 2
AND 2 1
OR 1 2
SET 1 63
FLIP 2 268
AND 2 1
XOR 1 2
AND 1 2
AND 1 2
SET 1 331
FLIP 2 314
SET 1 257
XOR 2 1
AND 1 2
AND 1 2
SET 1 13
FLIP 1 522
FLIP 1 391
AND 2 1
XOR 2 1
OR 2 1
XOR 2 1
AND 2 1
FLIP 1 24
AND 1 2
XOR 1 2
SET 1 131
XOR 1 2
SET 2 446
XOR 2 1
OR 2 1
SET 2 178
AND 2 1
SET 1 282
SET 1 115
XOR 2 1
FLIP 1 409
XOR 1 2
XOR 1 2
AND 1 2
OR 1 2
XOR 2 1
OR 1 2
FLIP 2 440
OR 1 2
AND 1 2
XOR 2 1
OR 2 1
XOR 2 1
OR 1 2
FLIP 1 416
FLIP 1 481
SET 2 157
AND 2 1
SET 2 257
OR 2 1
FLIP 2 273
XOR 2 1
AND 2 1
FLIP 1 469
OR 2 1
OR 1 2
FLIP 2 234
SET 2 503
SET 1 115
SET 2 115
XOR 1 2
AND 1 2
FLIP 2 372
AND 1 2
SET 2 302
FLIP 2 348
SET 1 450
XOR 1 2
AND 2 1
XOR 2 1
XOR 1 2
SET 2 400
OR 1 2
OR 2 1
FLIP 1 36
AND 2 1
XOR 2 1
XOR 2 1
XOR 2 1
SET 1 213
AND 1 2
OR 2 1
FLIP 2 337
AND 2 1
OR 1 2
AND 2 1
AND 1 2
AND 2 1
FLIP 1 372
OR 1 2
FLIP 1 192
FLIP 1 193
SET 1 95
OR 2 1
XOR 1 2
XOR 1 2
SET 2 369
XOR 2 1
OR 2 1
OR 1 2
FLIP 2 494
FLIP 1 243
XOR 1 2
FLIP 1 227
SET 2 244
XOR 2 1
AND 2 1
FLIP 2 2
AND 2 1
FLIP 2 129
XOR 2 1
FLIP 1 224
OR 2 1
FLIP 2 521
XOR 1 2
OR 2 1
FLIP 2 246
OR 2 1
AND 2 1
AND 1 2
XOR 1 2
SET 1 16
FLIP 1 195
OR 1 2
AND 2 1
OR 1 2
XOR 2 1
FLIP 2 433
SET 2 89
AND 1 2
FLIP 1 408
OR 2 1
SET 2 55
XOR 1 2
AND 1 2
OR 1 2
OR 1 2
AND 1 2
FLIP 2 364
AND 1 2
XOR 2 1
FLIP 1 177
OR 1 2
AND 1 2
SET 2 400
AND 2 1
AND 2 1
XOR 1 2
XOR 2 1
AND 1 2
SET 1 293
OR 1 2
SET 1 92
FLIP 1 499
FLIP 1 442
AND 2 1
OR 1 2
FLIP 2 159
SET 1 291
SET 2 482
AND 1 2
OR 2 1
AND 2 1
SET 2 422
FLIP 1 386
SET 2 195
XOR 1 2
OR 1 2
FLIP 2 287
XOR 1 2
AND 1 2
SET 2 345
AND 1 2
AND 1 2
AND 1 2
FLIP 2 181
FLIP 2 151
FLIP 2 179
OR 1 2
AND 2 1
AND 1 2
SET 1 109
FLIP 2 321
OR 1 2
SET 2 93
OR 2 1
OR 1 2
OR 2 1
OR 1 2
AND 1 2
XOR 2 1
FLIP 1 34
SET 1 383
XOR 2 1
AND 1 2
FLIP 2 135
OR 1 2
FLIP 2 74
XOR 1 2
SET 1 3
SET 2 171
SET 1 48
XOR 1 2
AND 1 2
XOR 2 1
XOR 2 1
FLIP 1 219
SET 1 126
XOR 2 1
AND 2 1
AND 2 1
OR 2 1
FLIP 1 323
FLIP 1 38
AND 2 1
SET 1 453
AND 1 2
OR 2 1
AND 2 1
XOR 2 1
SET 2 44
OR 2 1
OR 1 2
SET 1 436
XOR 1 2
SET 2 406
FLIP 1 367
OR 2 1
SET 2 93
OR 1 2
SET 2 81
SET 2 293
AND 2 1
XOR 1 2
FLIP 2 55
AND 2 1
AND 2 1
OR 1 2
OR 1 2
AND 1 2
FLIP 1 95
FLIP 1 499
XOR 1 2
SET 2 43
OR 2 1
AND 1 2
SET 2 331
OR 1 2
OR 1 2
XOR 1 2
AND 1 2
SET 1 166
SET 1 257
AND 2 1
XOR 2 1
OR 2 1
XOR 1 2
XOR 2 1
SET 2 471
XOR 2 1
FLIP 1 422
FLIP 2 64
OR 1 2
SET 2 503
AND 2 1
FLIP 2 292
FLIP 2 196
AND 2 1
SET 1 119
XOR 1 2
XOR 2 1
FLIP 1 425
XOR 1 2
OR 2 1
XOR 1 2
FLIP 1 327
AND 1 2
AND 1 2
SET 1 269
SET 2 58
OR 1 2
XOR 1 2
XOR 1 2
FLIP 2 224
XOR 1 2
OR 1 2
FLIP 2 288
OR 2 1
XOR 2 1
OR 2 1
FLIP 2 319
SET 2 193
OR 2 1
FLIP 1 501
FLIP 1 165
SET 1 129
SET 2 106
OR 1 2
FLIP 1 268
OR 2 1
SET 2 84
OR 1 2
SET 2 445
OR 1 2
SET 1 265
XOR 2 1
XOR 2 1
FLIP 1 244
SET 1 355
OR 2 1
AND 1 2
OR 2 1
AND 1 2
SET 2 78
XOR 1 2
FLIP 1 217
XOR 1 2
FLIP 2 79
AND 2 1
AND 1 2
OR 1 2
AND 1 2
SET 1 467
OR 2 1
XOR 2 1
SET 1 359
OR 2 1
SET 1 372
FLIP 1 356
OR 1 2
OR 1 2
FLIP 1 274
SET 1 285
XOR 2 1
SET 1 432
OR 2 1
AND 1 2
FLIP 2 514
AND 1 2
FLIP 2 504
AND 1 2
SET 1 82
XOR 2 1
AND 1 2
OR 2 1
SET 1 253
AND 2 1
AND 1 2
SET 2 499
XOR 2 1
SET 2 243
SET 1 146
XOR 1 2
FLIP 1 228
XOR 2 1
OR 1 2
AND 1 2
FLIP 1 207
XOR 1 2
XOR 2 1
AND 1 2
FLIP 1 77
OR 2 1
FLIP 2 484
OR 2 1
SET 2 361
OR 1 2
XOR 2 1
FLIP 2 201
SET 1 223
SET 2 441
AND 2 1
FLIP 2 26
XOR 1 2
AND 2 1
AND 2 1
SET 1 127
OR 2 1
OR 1 2
FLIP 2 472
SET 1 335
FLIP 2 83
XOR 2 1
SET 2 439
FLIP 1 481
SET 2 145
SET 1 66
FLIP 1 454
SET 2 231
AND 1 2
FLIP 1 280
OR 2 1
FLIP 2 285
XOR 2 1
AND 2 1
AND 1 2
SET 2 276
OR 1 2
SET 1 513
FLIP 1 170
SET 2 66
AND 2 1
OR 1 2
AND 2 1
